;Open;High;Low;Close;Date;Values
2023-01-12 19:15:21;7828,3;7828,3;7828,2;7828,3;;
2023-01-12 19:15:22;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:15:27;7828,8;7828,8;7828,3;7828,3;;
2023-01-12 19:15:32;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:15:36;7827,8;7827,8;7827,8;7827,8;;
2023-01-12 19:15:37;7827,8;7827,8;7827,8;7827,8;;
2023-01-12 19:15:38;7826,8;7826,8;7826,8;7826,8;;
2023-01-12 19:15:40;7826,3;7826,3;7826,3;7826,3;;
2023-01-12 19:15:44;7826,3;7826,3;7826,3;7826,3;;
2023-01-12 19:15:47;7826,3;7826,3;7826,3;7826,3;;
2023-01-12 19:15:55;7826,8;7826,8;7826,8;7826,8;;
2023-01-12 19:16:00;7826,8;7826,8;7826,8;7826,8;;
2023-01-12 19:16:02;7827,8;7827,8;7827,3;7827,3;;
2023-01-12 19:16:06;7827,8;7827,8;7827,3;7827,3;;
2023-01-12 19:16:07;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:16:14;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:16:29;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:16:35;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:16:36;7826,8;7826,8;7826,8;7826,8;;
2023-01-12 19:16:38;7826,8;7826,8;7826,8;7826,8;;
2023-01-12 19:16:47;7826,8;7826,8;7826,8;7826,8;;
2023-01-12 19:16:54;7826,3;7826,3;7826,3;7826,3;;
2023-01-12 19:16:57;7826,3;7826,3;7825,3;7825,3;;
2023-01-12 19:16:58;7825,1;7825,3;7825,1;7825,3;;
2023-01-12 19:17:02;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:17:05;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:17:09;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:17:11;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:17:12;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:17:13;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:17:14;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:17:15;7825,3;7825,3;7825,3;7825,3;;
